Tweets,category,misogyny,target,HS
"@joey_gs__ @DimaSadek ما خص امها ، نحنا الشعب المحترم مش متلها 
هيي كل شي ممنوع بس عالتيار وحزب الله مسموح ومكتر 
فشرت نكون متلها��‍♀️",none,none,none,0
@DimaSadek صحيح انك #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek @AhmadBallout15 الله يلعنك بلا شرف,damning,misogyny,active,1
@NicoleHajal @LbciLebanon @DimaSadek الله يرحم البطن يلي حملك,none,none,none,0
"@berrynawal سلامة قلبك 
كللن يعني كللن و انتِ اشرف منن...
مبارح @AkikiJoyce  و اليوم انتِ لأنكن اقوى من ايا شي❤… https://t.co/5x3sWBCon6",none,none,none,0
"@DimaSadek حدا يبهدلها عني أنا اكتفيت .. حأستفرغ من وجودي على صفحتها 
#ديما_الواطية",discredit,misogyny,active,1
@m_altahan @NadimKoteich @DimaSadek كتير منيح، صارو يعرفو الناس القوادم ليش في ناس عمتسب فيها للآدمية... فعلا أذكياء... ���,none,none,none,0
@DimaSadek معليه روحي عند يلي بيشبهوكي مين مانعك ، اسرائيل و امريكا فاتحة احضانها لامثالك روحي لعندهم ، و اذا بدك ب… https://t.co/MJWQZZzr8Q,none,none,none,0
@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,discredit,misogyny,active,1
@berrynawal طبشوكي الصباط على عينك بتعرفي ليشششش؟؟؟؟ عشان شفتي النمرة ��,threat of violence,misogyny,active,1
@timakanso @alexi_naser @DimaSadek الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,none,none,none,0
"@DimaSadek انت قدن كلن واشرف واصدق منهم.
ديما كلنا منحبك .",none,none,none,0
@DimaSadek وانت تركي السفارات,none,none,none,0
@DimaSadek رح تموتي قد مافي جواتك سم,discredit,misogyny,active,1
@Jessicaazar بشكر الله إلي جيلي ما كان واعي ع هيك فخامة.,none,none,none,0
"@DimaSadek نصرالله تاج راسنا والشمس طالعة رالناس قاشعة مين هو الفاسد مش ناطر وحدة فاسدة ومرتزقة مثلك تنعتوا بالفساد
 وحدة غبية روحي انضبي",discredit,misogyny,active,1
@DimaSadek السيد اشرف رجل في العالم كلو اما الباقيين ماخصني فيهم شيلو السيد من هالمعادلة,none,none,none,0
@GJKLMN557 @KaramRachel @DimaSadek كلك زوق,none,none,none,0
"@Rana40752360 @khalil_f8585 @PinkAsteroyd @DimaSadek #ديما_الوضيعة
#ديما_الساروت 
#ديما_الكذابة",discredit,misogyny,active,1
@DimaSadek الساعات الاخيرة لامثاليك ... ولله ليوصل عواكي لقبرص,threat of violence,misogyny,active,1
@DimaSadek صديقت الفاسدين,discredit,misogyny,active,1
"@sayegh_georges @DimaSadek ديما شعرها حلو 
���",none,none,none,0
"RT @MaharatNews: النساء اللبنانيات في الساحات الامامية فعلا، وأقل في الساحات الافتراضية
للاطلاع على المزيد من الاحصائيات https://t.co/L6w8B…",none,none,none,0
@berrynawal خلص سكتي بلا هبل,discredit,misogyny,active,1
@DimaSadek يبدو أن الجوع سيطر عليك الصحيفة وليس الصفيحة,none,none,none,0
@yumnafawaz يا م نص لسان حاجي تبثي الفتن,stereotyping & objectification,misogyny,active,1
"@DimaSadek روحي انضبي يا كركمي
تفو عليكي و على اخلاقك",discredit,misogyny,active,1
@yumnafawaz ايه اكيد بدو يحكي عن النازحين لان هيدي وحدي من المشاكل. بشرفك قليلي قديش دفعينلك لتحكي هل حكي و و حياااة الله ما بخبر حداا�,none,none,none,0
@yumnafawaz ما ابشعك وما اسخفك,discredit,misogyny,active,1
@yumnafawaz @Alii_Wehbi يا مشحر شو بهايم ولي هول يا هبلة مخابرات جيش هيدي بقلب السرايا مصورينة لقوي تسوقولا لهل فتنة خافو الله,discredit,misogyny,active,1
"RT @yumnafawaz: بشرفكن شباب فينا نوقف مسبات المتعلقة بالنساء والأمهات! يعني قي الف مسبة تانية!
#لبنان_ينتفض https://t.co/RYyn85nHql",none,none,none,0
@berrynawal @NadimKoteich  افهم يا بلا فهم,none,none,none,0
"نحنا معك لانك صوت حر و بتمثلينا
ديما صادق انسانة حرة وبتقول كلمة الحق تزعل زعران السلطة الحاكمة 
#كلنا_ديما_صادق   @DimaSadek",none,none,none,0
@DimaSadek انت حثالة من بلادي �,discredit,misogyny,active,1
@miriam_shahine @DimaSadek عادي ولو خليها عم تعوي  �,discredit,misogyny,active,1
@yumnafawaz حبيبتي # مبارح جنيت وانا عم بحضرك الله يحميكي شكرا.,none,none,none,0
"@DimaSadek إذا أردت اكتشاف عقل شخص .. فـ أنظر إليه كيف يحاور من يخالفه الرأي .

 #برنارد_شو

#كلنا_ديما_صادق",none,none,none,0
@DimaSadek أي حكومة وأي شعب... سماحة السيد اسمو يا محترمة...,none,none,none,0
@DimaSadek انسانة تافهة ولطالما كنت بوق للفتن,discredit,misogyny,active,1
"RT @SawsanSawma: @DimaSadek المجد لاقفال تمك�

#بالشمع_الحمر",derailing,misogyny,active,1
RT @ShabakjiZeinab: @DimaSadek اجر السيد حسن اشرف من راسك.. والحزب بطولو وعرضو مش حيبعت حمودي وعلوشي ليمدحوا السيد بس اذا بدك ببعتلك انا شب…,dominance,misogyny,active,1
@NicoleHajal ايه خلي الشباب الطيبة المهذبة المشاغبة يفتحلون الطرقات وإلا رح يضطروا يعتصموا بالمطار,none,none,none,0
"@DimaSadek ساليلي اهلك شو عم بقولوا ثوارك .. عم يهتفوا لصاحبك الحريري 
العما ما اهبلك",discredit,misogyny,active,1
@DimaSadek يا غبية قال لن نقبل باسقاط العهد ولا نؤيد استقالة الحكومة وعادا لحتى امثالك الاغبية يفهموا يا بهيمة بس طلعتي اغبى من الغبي ��,discredit,misogyny,active,1
@yumnafawaz @saadhariri على ما يبدو إنو توقعاتك زي توقعات ليلى عبد اللطيف,none,none,none,0
@DimaSadek @yumnafawaz معقول نزلتو تصورتو وفليتو دغري,none,none,none,0
@yumnafawaz اين حرية الرأي؟؟؟ كيف بتهيني الناس وتسميهن غنم؟,none,none,none,0
@meedamine10 @DimaSadek اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,none,none,none,0
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هذا أقلية لا تمثل ، لكن من يريد ان يكون فوق الانتقاد عليه ان يقف بمكان الشبهة… https://t.co/nYVl9m0Qnh,none,none,none,0
"#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية… https://t.co/icoHoqv5CI",discredit,misogyny,active,1
@berrynawal يا نوال يا نوال خبريني شو كان لون كلساتهم لما صار هالحديث بما انك كنت موجودة,none,none,none,0
@Jessicaazar مش هيدي يلي سقطت بالانتخابات�,none,none,none,0
@MTVLebanonNews @aliimortada @DimaSadek @HichamHaddad57 @PaulaYacoubian بري وجبران قعدو سنه يتخانقو على النفط . كل… https://t.co/Im8uCIr9po,none,none,none,0
@yumnafawaz يا بنت الحرام في طرابلس حصل إطلاق نار من اجل ازالة صورة وفي جل الديب حصل نفس الأمر يعني سر السبب لتركيزك على النبطية يا صرمة,discredit,misogyny,active,1
@DimaSadek اهم شي يقبر قلبك ويقبرك بالطريق,threat of violence,misogyny,active,1
"RT @AHMAD_SD0: @DimaSadek كذابة 
#ديما_الواطية #ديماالكذابة #ديما_الحقيرة",discredit,misogyny,active,1
@abouelnouboul @DimaSadek تكبييييير ... كل ما صار شي بهالبلد عملتولي فيها مكشوفه ومكشوفه .. شو الناس عم تنام وتقوم… https://t.co/NaUuvZkrPQ,none,none,none,0
نانسي السبع : أعداد المتظاهرين تتزايد في ساحة رياض الصلح بعد خطاب السيد �� https://t.co/jdhPzyc5KE,none,none,none,0
@DimaSadek سقط الرئيس الحريري يا هبلة,discredit,misogyny,active,1
@DimaSadek مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… https://t.co/QflCTo09K7,none,none,none,0
@berrynawal الله يحشرك معو يا رب,none,none,none,0
@DimaSadek ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,discredit,misogyny,active,1
@DimaSadek انت معروفة شو انت ومن يوم يومك ممسحة على درج السراي فشرتي إذا بتوصلي لكعب صباط السيد لا انت ولا معلمينك,dominance,misogyny,active,1
@yumnafawaz يمنى تفضلي على ساحة الشهداء، من هون ما عمنشوف إلا لبنان الجديد بلا الوجوه القديمه، منظر بطير العقل,none,none,none,0
@DimaSadek ما في احقر منك يا عميلة #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek ديما صادق احذروها هي ناقوس فتنوي في مشروع مشبوه وبوق اعلامي مأجور انها قرن شيطان احذروها.,discredit,misogyny,active,1
"@yumnafawaz والله طلعتي درجة
من ربع لسان 
لَ نص لسان 
بهنيكي انا و حابب اتعّرف عليكي دروري",stereotyping & objectification,misogyny,active,1
@DimaSadek @KhotyarK من اليوم انتِ حُرّة,none,none,none,0
@DimaSadek سكري بوزك يا عاهره,discredit,misogyny,active,1
"@DimaSadek  إنتِ أشرَف منن كلن ومن أخلاقن..
#كلنا_ديما_صادق",none,none,none,0
@DimaSadek #كلنا_ديما_صادق #كلن_يعني_كلن الله يقويكي,none,none,none,0
@DimaSadek يا حنونه بتخافه عليهن والله لستحو ماتو,none,none,none,0
@jemnina_1 ما هي الرسالة التي توجه؟ سخافة متل سخافة @DimaSadek,discredit,misogyny,active,1
RT @abir_zgheib: @DimaSadek سدي نيعك يا واطية,discredit,misogyny,active,1
@DimaSadek يازعرا انت ههههههه,sexual harassment,misogyny,active,1
"اخرسي يا نانسي السبع  و خليك بمهنتك الإعلامية و استمعي لكل الآراء و لا تفرضي آراءك على الضيوف و على المداخلات 
هذا… https://t.co/GEHS4gNWEC",discredit,misogyny,active,1
@DimaSadek والله ما فيه اقوى منك، الله يحميكي,none,none,none,0
@DimaSadek @yumnafawaz صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ....,none,none,none,0
@yumnafawaz المهم زبدة الكلام ع ريت ستي,none,none,none,0
@DimaSadek صايرة كذابة وموتورة,discredit,misogyny,active,1
@yumnafawaz الانتقاد بل السياسة حق بس احترام الكبير واجب,none,none,none,0
"#كلنا_جويل ❤️
@joellebouyounes https://t.co/cpH67eDoBq",none,none,none,0
"@DimaSadek هني الواطيين حثالة المجتمع 
ما تهكلي للهم",none,none,none,0
@DimaSadek يا حيوانة ليش مين بعبدا و مين الضاحية,discredit,misogyny,active,1
@richany_maria @DimaSadek بليز اسكتي من دون ما تلعي نفسنا اكتر من هيك، باسيل و عمو هني الفساد بحد ذاتو,none,none,none,0
@DimaSadek اديش عم تاخدي عا كل تويت لتبيني هبلععععع,discredit,misogyny,active,1
@DimaSadek شدي براغي حنكك طول عمرك واطية وعميلة #ديما_الوطية,discredit,misogyny,active,1
@DimaSadek #ديما_الواطية قريبا حنزورك عبيتك بالروشة,discredit,misogyny,active,1
@DimaSadek يا حمارة العلم لي عم تسألي عنو مرفوع بالعالي ورح يضل مرفوع بالعالي بس للأسف إنتي واطية كتير مش قادرة تشو… https://t.co/u0hSpk3M7T,discredit,misogyny,active,1
@DimaSadek ديما هلقد الإصبع عم يعمل فيكي صدقيني ما في داعي تفزعي من شي بس كوني صادقة الكل بيحترمك,none,none,none,0
@yumnafawaz @lara_msaed رمز الفتنة رتش روحي انضبي,discredit,misogyny,active,1
شجاعة وصادقة في موقفها @DimaSadek تحية لك https://t.co/n19NIPgxvi,none,none,none,0
@DimaSadek ست ديما ، الإستقالة لوحدها ما بتكفّي ، بعدها ناقصة ، قوليلهن يمشوا للآخر . يسعد صباحك . �,none,none,none,0
"@DimaSadek الله يحميكن
ثورة ضد الظلم و الفساد
احنا اهل اليمن قلوبنا معكن

تحياتي الك ديما صادق
و تحية ✋ لكل المشاركين بالمضاهرات",none,none,none,0
@berrynawal كامل احترامي لكي آنسة نوال الله يعطيكم العافية بتبيضوا الوجه و بترفعوا الرأس بحرفيتكن بالتغطية الله يحميكم,none,none,none,0
"@sarahhosseinii1 @DimaSadek عفكرة هي ما بتغرّد متل باقي الناس
#بتشنهق �",discredit,misogyny,active,1
@NicoleHajal @DimaSadek شو حضارية انت !!,none,none,none,0
RT @HabibHusseinAy1: @DimaSadek يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,discredit,misogyny,active,1
@DimaSadek نفايات الكترونية و انت وحدة منن,discredit,misogyny,active,1
"@DimaSadek ما بدك تشوفي، وفشر انو يسقطوا
#ديما_الواطية https://t.co/Tv9MnV4CFY",discredit,misogyny,active,1
@yumnafawaz شو يا هبيلة وين استقالة الحكومي يلا خدي � و نامي,discredit,misogyny,active,1
"@yumnafawaz طلعتي مسترزقة 
ومعاشك من فوايد القرض من مصرف لبنان",none,none,none,0
@DimaSadek عم بتشرعي حمل السلاح يا حمارة,discredit,misogyny,active,1
@yumnafawaz ماذا عن هضامتك,none,none,none,0
@yumnafawaz يا يمنى يعني من الباب للطاقة صارة القصة ؟,none,none,none,0
"@yumnafawaz اي ورقة اقتصادية بتقدمت  هيدي الطبقة ما الا معنى وعود كذابة من  سنة ١٩٩٠
اول حل انو  يفلو وبعدين  منحكي بوراق",none,none,none,0
@Jessicaazar انت متل هيدا الأزعر اللي مسكر الطريق  و كان من قبل خوات و بطل خوات و صار هلق لبناني...حرباية,discredit,misogyny,active,1
@DimaSadek الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,none,none,none,0
@yumnafawaz بهيدي الطريقة بتحكي مع بيك لرباكي ونعم التربية اذا كان بتعرفي مين الظاهر من حديثك بلا اهل,none,none,none,0
@DimaSadek انت اكتر وحدة ما بحقلك تحكي عن الشرف...ما تكوني مفكرة الشرف شي بونبونة...لا عيني..الشرف شي ما خصك في...بس تكبري بتفهمي...,discredit,misogyny,active,1
"لازم كل لبناني بيحب وطنو، يفتخر فيكي من بعد هيك مقدمة
بس للأسف...
@DimaSadek 

Must watch
https://t.co/I01vRPtaIX

 #كلنا_ديما_صادق",none,none,none,0
@DimaSadek الله يخديك الهي يا حشره,discredit,misogyny,active,1
@Yosra22920427 @DimaSadek فساد شو ؟!!ما تكون عم تسرق الدولة وتعمل صفقات على حساب الدولة..ما تكون عم تبعت شباب يقوصو… https://t.co/jYLVbYKjSY,none,none,none,0
@Fatima73611466 @DimaSadek ليه بعد في يطلع غير ع المنار هل الفاشل ..أكيد بعد هل الثورة رح يدمن على المهدئات,none,none,none,0
@DimaSadek ايه ليه ما حدا عم ينقل نبض الثورة طرابلس !!!,none,none,none,0
@zna_krm @LBCI_NEWS و قال شو اسمعو عم يهتفو ضد السيد ��‍♀️��‍♀️��‍♀️ الهبلة مش فهماني انو هني ذاتهم الي ضد السيد بع… https://t.co/VQQROMEMMj,discredit,misogyny,active,1
RT @JKatrib: @DimaSadek سدّي بوزِك، بوزِك سديه #ديما_الواطية https://t.co/XFKjD10AGh,discredit,misogyny,active,1
@DimaSadek عالجبانة انشالله بتنزلي دغري و بقبرك,damning,misogyny,active,1
"بتتذكرو بس ديما صادق كشتو للبوق السوري وئام وهاب؟
من يوما صرت حب @DimaSadek #كلنا_ديما_صادق",none,none,none,0
@YassinYassin313 @yumnafawaz عم بطعموها الها بطاطا ولبنه ولغيرها كبه بالكبايه ...وكنافه علي بابا ���,none,none,none,0
"@DimaSadek
تلحسي ما تضرسي",discredit,misogyny,active,1
@DimaSadek @LBCI_NEWS بلا قطعاً من اجري بحديثك،هبلة .,discredit,misogyny,active,1
@yumnafawaz شكلك هبله. نحن  طوائف مش بلد يا خالصه,discredit,misogyny,active,1
@yumnafawaz النازحين هي مشكلة من المشاكل يلي عم يواجها لبنان . معك خبر انو في مليونين نازح؟,none,none,none,0
@berrynawal منحبك نوال,none,none,none,0
@berrynawal الحمد لله ع سلامتك نوال أنت مثال  المرأة الشجاعة الجريئة يعطيك الف عافيه,none,none,none,0
@Jessicaazar قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,none,none,none,0
@DimaSadek ايمتا بدك تصيري بنت عيلة وتبطلي تحكي متل ولاد الشوارع انتقدي بحضارية يا سفيهة,discredit,misogyny,active,1
@RoulaJrady1 @Jessicaazar عم تركب الموجة بحذر شديد.. ذكية جسيكا �,none,none,none,0
"@DimaSadek انوا مش وقتها. 
دايماً الوضع حساس و مش وقتها",none,none,none,0
"@DimaSadek يعني اسمالله عليك من وين جايبي كل هالذكا. كل خبرية بتتحفينا فيا بدا أينشتاين ليحللا. برافو
��� https://t.co/7osdfXSSYS",none,none,none,0
@DimaSadek بحب طمنك جعجع راجع https://t.co/RsTXVWpxvi,none,none,none,0
@yumnafawaz عاملة فيها المحقق كونان. خليها طالعة طلعتها. بس مش مطولة القصة ليرجعوا على جحورهم,none,none,none,0
@DimaSadek و المقاومة لا تموت عزيزتي ديما...لأنها من صميم الشعب و روحه الثورية.. تحياتي❤,none,none,none,0
@yumnafawaz @saadhariri ما شاء الله نبيهة جدا طا شاء الله,none,none,none,0
@yumnafawaz @saadhariri أنت اذكى صحافية ....,none,none,none,0
@DimaSadek مين حضرتك لتقولي ممنوع هيدا الشي او مسموح هيدا الشي بعدك ما وصلتي لمترح تأ تبلشي تمنعي نعم لحرية الرأي مهما كان الرأي,none,none,none,0
"@DimaSadek #ديما_الواطية معلومة قربة لله حرف k بيعني 1000 .
رجعي طلّعي بالأرقام هلأ وخبريني عن شعورك!",discredit,misogyny,active,1
@DimaSadek احتياط سكري نيعك �,discredit,misogyny,active,1
@DimaSadek يا اغشم مخلوقات الله .. يا مسخرة التاريخ .. يا تافهة .. يا فاجرة .. و اكتر بكتير .. سماحة السيد اللي صرم… https://t.co/zhd0VAf446,discredit,misogyny,active,1
@yumnafawaz كتير منيح بكر الحكومة يلي رح يجيبا الشعب رح تاخُدَ بعين الاعتبار الورقة متشككون,none,none,none,0
@DimaSadek إنسانة وصولية انتهازية متلك يجب طردها من ساحات الحرية. سوري عا كلمة إنسانة ���� كل عمرك نايمة بأحضان الس… https://t.co/x4lZBJZvSo,discredit,misogyny,active,1
@AbdooYaraa @DimaSadek نقلعة انت وياها العمى بقلبك شو بلا شرف,none,none,none,0
@yumnafawaz نطقتي بالحق فهاجموكي,none,none,none,0
"@DimaSadek بدي اعرف من وين بتجيبي هضامتك من أي مجرور ؟ 
سم لعم تبخيه عم يطلع فيكي 
ابكي بترتاحي",stereotyping & objectification,misogyny,active,1
@DimaSadek انشالله @KazwiniM بيقبرك و برتاح من قرفك و هبلك ��,damning,misogyny,active,1
@DimaSadek تلحسي مفكري حالك بتفهمي و الحشا بينك و بين الفهم مسافة ما بتوصليلها,discredit,misogyny,active,1
@DimaSadek العمى بقلبك ما اسخفك...لو في علم الحزب كنت قلتي وين علم لبنان...عنجد انك حاقدة,discredit,misogyny,active,1
@LbciLebanon @DimaSadek احلا ديما صادق,none,none,none,0
@yumnafawaz انت عم بتقوليها بس بلسان غيرك والا ما كان في لزوم تحطيها.,none,none,none,0
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,none,none,none,0
@LayalElAli5 @DimaSadek احلا عالم @DimaSadek لازم تكون وزيرة الثقافه والسياحه❤️,none,none,none,0
@DimaSadek يا ريتو تارقك بشي انينه او صرمايه على وجك,threat of violence,misogyny,active,1
@DimaSadek الله محييكم والله يحميكم,none,none,none,0
@DimaSadek بكرا بس تاكل سحسوح على الحواجز الطائفية بتشفى,threat of violence,misogyny,active,1
@alimouinjaber @DimaSadek اللي بيحط راسو بالتراب وماعنده اي كلام يحكيه عن الفاسدين يكف بلاه عن اللي بيحكي… https://t.co/9WC9e3PXeC,none,none,none,0
@yumnafawaz خلي التعليق لحدا بيفهم ، انتي انضبي يا مجوية,discredit,misogyny,active,1
@yumnafawaz إنت شو محلك من الاعراب لحتى تحكي على سيدك وتاج راسك . لعمى بقلبك سكري بوزك وحاجي تحكي,discredit,misogyny,active,1
@DimaSadek واطية عن جد واطية,discredit,misogyny,active,1
@DimaSadek اه والله انك صادقة,none,none,none,0
@DimaSadek يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيئة الحاضنة والتي لم تشه… https://t.co/ieDEQgB4Hi,none,none,none,0
@yumnafawaz صدقيني ما حدا مقصر بحدا,none,none,none,0
